lambda,policy_key,base_policy,capacity,p99_latency_ms,avg_latency_ms,throughput_req_s,avg_quality
1e-05,high_c1,high,1,0.0,0.0,0.0,0.0
1e-05,high_c2,high,2,0.0,0.0,0.0,0.0
1e-05,high_c4,high,4,53451.764969825745,51939.43359375001,0.011111111111111112,31.279577738444015
1e-05,fast_c1,fast,1,0.0,0.0,0.0,0.0
1e-05,fast_c2,fast,2,0.0,0.0,0.0,0.0
1e-05,fast_c4,fast,4,0.0,0.0,0.0,0.0
1e-05,smart_c1,smart,1,0.0,0.0,0.0,0.0
1e-05,smart_c2,smart,2,0.0,0.0,0.0,0.0
1e-05,smart_c4,smart,4,0.0,0.0,0.0,0.0
1e-05,sjf_c1,sjf,1,0.0,0.0,0.0,0.0
1e-05,sjf_c2,sjf,2,0.0,0.0,0.0,0.0
1e-05,sjf_c4,sjf,4,0.0,0.0,0.0,0.0
1.4444444444444446e-05,high_c1,high,1,280194.98694801424,129753.71329407979,0.014444444444444444,31.27957773844401
1.4444444444444446e-05,high_c2,high,2,79099.46854677837,54596.788471508946,0.017777777777777778,31.27957773844401
1.4444444444444446e-05,high_c4,high,4,53179.47866439819,51942.78079365927,0.014,31.27957773844401
1.4444444444444446e-05,fast_c1,fast,1,51278.42310508584,25822.05770848529,0.013111111111111112,31.30725638071696
1.4444444444444446e-05,fast_c2,fast,2,34476.164310340195,22699.65994001057,0.015555555555555555,31.30725638071695
1.4444444444444446e-05,fast_c4,fast,4,22656.904287338257,22047.4522364767,0.012666666666666666,31.30725638071696
1.4444444444444446e-05,smart_c1,smart,1,198317.58702834597,77913.06667526043,0.011777777777777778,31.27957773844401
1.4444444444444446e-05,smart_c2,smart,2,134443.0718251445,60670.7534367538,0.017333333333333333,31.27957773844401
1.4444444444444446e-05,smart_c4,smart,4,53142.53215789795,52059.97952516528,0.015333333333333332,31.27957773844401
1.4444444444444446e-05,sjf_c1,sjf,1,63531.771316670616,22178.00325070171,0.018666666666666668,30.779163257508046
1.4444444444444446e-05,sjf_c2,sjf,2,52065.556161403656,14697.731083447903,0.013777777777777778,30.740954532828386
1.4444444444444446e-05,sjf_c4,sjf,4,53118.25287818909,18005.438188711803,0.016,30.803412124845718
1.8888888888888893e-05,high_c1,high,1,452407.44061769475,282463.0753725045,0.018666666666666668,31.27957773844401
1.8888888888888893e-05,high_c2,high,2,85271.72111723403,54922.9950366793,0.015555555555555555,31.27957773844401
1.8888888888888893e-05,high_c4,high,4,54937.15517205166,51932.756858273446,0.016,31.27957773844401
1.8888888888888893e-05,fast_c1,fast,1,43687.79965054264,25551.725098236995,0.01622222222222222,31.307256380716957
1.8888888888888893e-05,fast_c2,fast,2,33591.327174517064,22513.490499678242,0.014666666666666666,31.30725638071696
1.8888888888888893e-05,fast_c4,fast,4,22707.140684127808,21970.72656123669,0.01711111111111111,31.30725638071695
1.8888888888888893e-05,smart_c1,smart,1,344008.30798381136,211653.70085618363,0.021111111111111112,31.285404821027782
1.8888888888888893e-05,smart_c2,smart,2,92259.87167221458,55845.86489226857,0.017333333333333333,31.27957773844401
1.8888888888888893e-05,smart_c4,smart,4,53163.35056304932,51766.81559661339,0.019333333333333334,31.279577738444008
1.8888888888888893e-05,sjf_c1,sjf,1,125243.84048680328,27158.510245283513,0.017555555555555557,30.822389734324513
1.8888888888888893e-05,sjf_c2,sjf,2,53204.185802936554,19185.06601731398,0.019555555555555555,30.77949662757642
1.8888888888888893e-05,sjf_c4,sjf,4,53100.64671039581,18359.136132154334,0.02288888888888889,30.758730016047895
2.3333333333333336e-05,high_c1,high,1,1374265.5462452846,725411.3703764825,0.01888888888888889,31.27957773844401
2.3333333333333336e-05,high_c2,high,2,120118.17754997425,62478.97048283117,0.021111111111111112,31.279577738444008
2.3333333333333336e-05,high_c4,high,4,53921.601352517406,51961.93953225942,0.022,31.279577738444008
2.3333333333333336e-05,fast_c1,fast,1,63808.15628443436,30372.401118881353,0.02266666666666667,31.307256380716954
2.3333333333333336e-05,fast_c2,fast,2,33548.382677667694,22953.622779625875,0.021333333333333333,31.307256380716964
2.3333333333333336e-05,fast_c4,fast,4,22707.140684127808,22072.378113730494,0.02422222222222222,31.307256380716957
2.3333333333333336e-05,smart_c1,smart,1,378953.88495093584,251430.15636945845,0.02422222222222222,31.28973503836069
2.3333333333333336e-05,smart_c2,smart,2,97113.10512911482,59886.579434605555,0.024,31.279577738444008
2.3333333333333336e-05,smart_c4,smart,4,63561.32214251575,52500.74358821709,0.026222222222222223,31.279577738444008
2.3333333333333336e-05,sjf_c1,sjf,1,79521.28607305394,25807.880123770494,0.029111111111111112,30.769735925494867
2.3333333333333336e-05,sjf_c2,sjf,2,53047.67448425292,16841.60659264026,0.02266666666666667,30.794738866768622
2.3333333333333336e-05,sjf_c4,sjf,4,53136.3505458832,18423.964889276598,0.023333333333333334,30.8078005876087
2.777777777777778e-05,high_c1,high,1,1170548.0201468463,574998.2152519745,0.01888888888888889,31.27957773844401
2.777777777777778e-05,high_c2,high,2,122132.88328827552,66972.3305357986,0.026444444444444444,31.279577738444008
2.777777777777778e-05,high_c4,high,4,81602.64243595139,53417.41781838246,0.03,31.279577738444008
2.777777777777778e-05,fast_c1,fast,1,83825.88806056019,34791.917795221736,0.02666666666666667,31.307256380716968
2.777777777777778e-05,fast_c2,fast,2,42716.67630096589,24068.24062658758,0.03133333333333333,31.307256380716954
2.777777777777778e-05,fast_c4,fast,4,22698.979139328003,22024.19639277721,0.029777777777777778,31.30725638071695
2.777777777777778e-05,smart_c1,smart,1,356948.6016986144,244481.5059868326,0.02688888888888889,31.29559017612258
2.777777777777778e-05,smart_c2,smart,2,187453.23860986545,83405.67166287609,0.029555555555555557,31.279577738444015
2.777777777777778e-05,smart_c4,smart,4,60493.72534159305,52112.07755553105,0.029333333333333333,31.27957773844401
2.777777777777778e-05,sjf_c1,sjf,1,114099.03464109242,25274.238289368728,0.030444444444444444,30.675882544505914
2.777777777777778e-05,sjf_c2,sjf,2,55284.947416827934,18706.434595613056,0.024666666666666667,30.81678018002896
2.777777777777778e-05,sjf_c4,sjf,4,53076.742503643036,19850.160265574094,0.03111111111111111,30.845170908882494
3.222222222222222e-05,high_c1,high,1,1376105.950912894,677529.7476185285,0.019333333333333334,31.279577738444008
3.222222222222222e-05,high_c2,high,2,168494.38453292623,80223.01727384923,0.027333333333333334,31.279577738444008
3.222222222222222e-05,high_c4,high,4,61519.29979074877,52377.240865886684,0.027555555555555555,31.279577738444008
3.222222222222222e-05,fast_c1,fast,1,137307.1920131379,50048.503069111306,0.03111111111111111,31.30725638071695
3.222222222222222e-05,fast_c2,fast,2,41347.566077424206,23692.04793778707,0.03133333333333333,31.307256380716954
3.222222222222222e-05,fast_c4,fast,4,22698.559641838074,22021.42631602125,0.03266666666666666,31.30725638071696
3.222222222222222e-05,smart_c1,smart,1,370404.40952405334,239954.6146442945,0.03266666666666666,31.30047793771134
3.222222222222222e-05,smart_c2,smart,2,182349.25901773578,81999.11246172033,0.03,31.279987792403613
3.222222222222222e-05,smart_c4,smart,4,82223.20188011137,54469.37307752854,0.034666666666666665,31.27957773844401
3.222222222222222e-05,sjf_c1,sjf,1,144710.75493727074,35010.70088207209,0.03177777777777778,30.827473652535097
3.222222222222222e-05,sjf_c2,sjf,2,53982.35430662256,20842.50856888239,0.03177777777777778,30.819319303908266
3.222222222222222e-05,sjf_c4,sjf,4,53166.15153312683,18046.338923217714,0.028666666666666667,30.75214839521304
3.666666666666667e-05,high_c1,high,1,2560083.337117869,1566455.217728282,0.019333333333333334,31.279577738444008
3.666666666666667e-05,high_c2,high,2,358718.7279875861,169070.10144547716,0.036444444444444446,31.27957773844401
3.666666666666667e-05,high_c4,high,4,79624.66609056287,53773.87136554066,0.04,31.279577738444008
3.666666666666667e-05,fast_c1,fast,1,117520.91668061513,48427.20765289274,0.035777777777777776,31.307256380716964
3.666666666666667e-05,fast_c2,fast,2,46872.50161694615,24376.626522931798,0.04,31.30725638071696
3.666666666666667e-05,fast_c4,fast,4,25270.236724696704,22238.74412657722,0.03822222222222222,31.307256380716957
3.666666666666667e-05,smart_c1,smart,1,331440.1764624356,223222.83093621003,0.032,31.30052893294228
3.666666666666667e-05,smart_c2,smart,2,199916.17509857437,120264.09309397699,0.03755555555555556,31.283835991101387
3.666666666666667e-05,smart_c4,smart,4,106904.00142847087,56294.315067159594,0.036222222222222225,31.279577738444008
3.666666666666667e-05,sjf_c1,sjf,1,343838.1363653524,51702.8817862984,0.035333333333333335,30.862304661588844
3.666666666666667e-05,sjf_c2,sjf,2,54715.58204062469,19614.500967224474,0.033555555555555554,30.779495016102228
3.666666666666667e-05,sjf_c4,sjf,4,53080.938811302185,16739.765329710426,0.035333333333333335,30.78857375858714
4.1111111111111116e-05,high_c1,high,1,2914118.0183971846,1625910.9927940494,0.01911111111111111,31.279577738444008
4.1111111111111116e-05,high_c2,high,2,357707.79099177814,183763.6525192392,0.036444444444444446,31.27957773844401
4.1111111111111116e-05,high_c4,high,4,82592.83034666681,54116.50809622892,0.03866666666666667,31.279577738444008
4.1111111111111116e-05,fast_c1,fast,1,178646.6961316339,75719.97944826732,0.04044444444444444,31.307256380716957
4.1111111111111116e-05,fast_c2,fast,2,47436.925864615776,25072.979487750737,0.042444444444444444,31.307256380716957
4.1111111111111116e-05,fast_c4,fast,4,29268.27720179465,22143.566782911348,0.042,31.30725638071696
4.1111111111111116e-05,smart_c1,smart,1,342363.8490152027,231885.96830174577,0.03711111111111111,31.303775832886224
4.1111111111111116e-05,smart_c2,smart,2,207695.7743728768,128962.22718048048,0.043555555555555556,31.287344704387948
4.1111111111111116e-05,smart_c4,smart,4,98433.582992734,57522.11192623822,0.042888888888888886,31.27957773844401
4.1111111111111116e-05,sjf_c1,sjf,1,255394.99528700585,45969.118605794574,0.043555555555555556,30.809392852718332
4.1111111111111116e-05,sjf_c2,sjf,2,77689.15777883722,24713.136137826023,0.036,30.86986108497337
4.1111111111111116e-05,sjf_c4,sjf,4,53136.77638053891,19363.678266853476,0.03888888888888889,30.799338000415617
4.555555555555556e-05,high_c1,high,1,2851565.078128801,1626886.1292950078,0.01911111111111111,31.279577738444008
4.555555555555556e-05,high_c2,high,2,548740.0301012889,192881.80600054766,0.036,31.27957773844401
4.555555555555556e-05,high_c4,high,4,129134.09207100933,58127.357265639905,0.04466666666666667,31.27957773844401
4.555555555555556e-05,fast_c1,fast,1,433087.5390453281,285735.33958980656,0.04488888888888889,31.307256380716964
4.555555555555556e-05,fast_c2,fast,2,74337.17019181249,28657.16807922509,0.042444444444444444,31.307256380716957
4.555555555555556e-05,fast_c4,fast,4,30644.47106939534,22227.70552645155,0.04822222222222222,31.307256380716964
4.555555555555556e-05,smart_c1,smart,1,688248.9589335766,417003.64591995906,0.042666666666666665,31.307256380716964
4.555555555555556e-05,smart_c2,smart,2,200649.32293473242,124258.33440791149,0.042222222222222223,31.287007268738325
4.555555555555556e-05,smart_c4,smart,4,99354.65574123457,57994.38880621909,0.044,31.279577738444008
4.555555555555556e-05,sjf_c1,sjf,1,438249.302625246,53097.29047820874,0.041555555555555554,30.772960149727613
4.555555555555556e-05,sjf_c2,sjf,2,78878.74887044558,22176.64966790437,0.04822222222222222,30.810724936747523
4.555555555555556e-05,sjf_c4,sjf,4,53046.213030815125,17559.72902280029,0.04133333333333333,30.7983085989183
5e-05,high_c1,high,1,2901263.948518625,1624930.2662069367,0.01911111111111111,31.279577738444008
5e-05,high_c2,high,2,1541570.4661208272,853904.9245932946,0.03844444444444445,31.27957773844401
5e-05,high_c4,high,4,88004.61306891993,57164.52355156403,0.052222222222222225,31.279577738444008
5e-05,fast_c1,fast,1,479479.7839912299,270559.7202287896,0.04533333333333334,31.30725638071696
5e-05,fast_c2,fast,2,53500.97556752308,27728.983007562245,0.05377777777777778,31.307256380716964
5e-05,fast_c4,fast,4,24525.2817570112,22123.734226397108,0.050666666666666665,31.307256380716964
5e-05,smart_c1,smart,1,709151.177951608,440941.68144547596,0.042444444444444444,31.306966552002056
5e-05,smart_c2,smart,2,199304.38663383745,143209.7013738504,0.049555555555555554,31.29136908829123
5e-05,smart_c4,smart,4,107505.11172920969,57571.73131803254,0.044,31.279577738444008
5e-05,sjf_c1,sjf,1,589295.0407420873,56929.385086079936,0.050444444444444445,30.76651927348626
5e-05,sjf_c2,sjf,2,87310.58741544366,21509.184377439276,0.04888888888888889,30.822041274619828
5e-05,sjf_c4,sjf,4,53124.36157464981,19872.463845456226,0.048,30.81113368175648
